"Term ID","Term Name","Term Slug",thumbnails,"Parent ID","Image URL","Image Title"
1,Uncategorized,uncategorized,,0,,
63,Smartphone,smartphone,,0,,
64,Tablette,tablette,,0,,
65,Alcatel,alcatel,,63,,
66,"Pop 3",pop-3,,65,,
70,Apple,apple,,63,,
71,Archos,archos,,63,,
72,Cubot,cubot,,63,,
73,HTC,htc,,63,,
74,Huawei,huawei,,63,,
75,LG,lg,,63,,
76,"LG Nexus",lg-nexus,,63,,
77,Motorola,motorola,,63,,
78,Nokia,nokia,,63,,
79,Samsung,samsung,,63,,
80,Sony,sony,,63,,
81,Umi,umi,,63,,
82,Vodafone,vodafone,,63,,
83,Wiko,wiko,,63,,
84,Xiaomi,xiaomi,,63,,
85,Apple,apple-tablette,,64,,
86,Archos,archos-tablette,,64,,
87,Huawei,huawei-tablette,,64,,
88,Samsung,samsung-tablette,,64,,
89,"Pop 4",pop-4,,65,,
90,"A3 XL",a3-xl,,65,,
91,"One touch Pixi 4 6\"",one-touch-pixi-4-6,,65,,
92,"One Touch Flash",one-touch-flash,,65,,
93,"Shine lite",shine-lite,,65,,
94,"Idol Mini 2S",idol-mini-2s,,65,,
95,"A3 Plus",a3-plus,,65,,
115,"50 Titanium 4G",50-titanium-4g,,71,,
116,"55 Platinum",55-platinum,,71,,
117,"Diamond Plus",diamond-plus,,71,,
118,"55 Helium Plus",55-helium-plus,,71,,
119,"S 308",s-308,,72,,
120,"One M8",one-m8,,73,,
121,"Honor 7X",honor-7x,,74,,
122,P9,p9,,74,,
123,"Y6 II",y6-ii,,74,,
124,"Mate 9",mate-9,,74,,
125,"Acsend G620S",acsend-g620s,,74,,
126,"P9 Lite",p9-lite,,74,,
127,"Honor 5A",honor-5a,,74,,
128,"Honor 7",honor-7,,74,,
129,GR3,gr3,,74,,
130,P10,p10,,74,,
131,"Y3 II",y3-ii,,74,,
132,"P10 Plus",p10-plus,,74,,
133,GR5,gr5,,74,,
134,Y330,y330,,74,,
135,"Honor 5X",honor-5x,,74,,
136,"Honor 8",honor-8,,74,,
137,"Mate 8",mate-8,,74,,
138,"P8 Lite",p8-lite,,74,,
139,"P8 Lite (2017)",p8-lite-2017,,74,,
140,P20,p20,,74,,
141,"P20 Pro",p20-pro,,74,,
142,"Y6 2018",y6-2018,,74,,
143,"Y7 2018",y7-2018,,74,,
144,G3,g3,,75,,
145,"Nexus 5X",nexus-5x,,75,,
146,"K8 - 2017",k8-2017,,75,,
147,K4,k4,,75,,
148,K7,k7,,75,,
149,G4,g4,,75,,
150,K10,k10,,75,,
151,G2,g2,,75,,
152,"L FINO",l-fino,,75,,
153,K8,k8,,75,,
154,G5,g5,,75,,
155,G6,g6,,75,,
156,"Nexus 6",nexus-6,,76,,
157,"Moto G1",moto-g1,,77,,
158,"Lumia 620",lumia-620,,78,,
159,"Lumia 530",lumia-530,,78,,
160,"Lumia 535",lumia-535,,78,,
161,"Lumia 930",lumia-930,,78,,
162,"Xperia T3",xperia-t3,,80,,
163,"Xperia E",xperia-e,,80,,
164,"Xperia Z Ultra",xperia-z-ultra,,80,,
165,"Xperia E5",xperia-e5,,80,,
166,"Xperia Z4",xperia-z4,,80,,
167,"Xperia XA",xperia-xa,,80,,
168,"Xperia M5",xperia-m5,,80,,
169,"Xperia S",xperia-s,,80,,
170,"Xperia M2",xperia-m2,,80,,
171,"Xperia Z",xperia-z,,80,,
172,"Xperia Z2",xperia-z2,,80,,
173,"Xperia Z3",xperia-z3,,80,,
174,"Xperia Z3 Compact",xperia-z3-compact,,80,,
175,"Xperia Z1",xperia-z1,,80,,
176,"Xperia Z5",xperia-z5,,80,,
177,"Xperia C5 Ultra",xperia-c5-ultra,,80,,
178,"Smart Prime 6",smart-prime-6,,82,,
179,Jerry,jerry,,83,,
180,Rainbow,rainbow,,83,,
181,"Lenny 2",lenny-2,,83,,
182,"Cink Peax",cink-peax,,83,,
183,"Rainbow up 4G",rainbow-up-4g,,83,,
184,"Sunset 2",sunset-2,,83,,
185,Lenny,lenny,,83,,
186,"Lenny 3",lenny-3,,83,,
187,"Redmi Note 3",redmi-note-3,,84,,
188,"Redmi Note 4",redmi-note-4,,84,,
189,"Redmi 2",redmi-2,,84,,
190,"Redmi 3",redmi-3,,84,,
191,"iPad Mini 1",ipad-mini-1,,85,,
192,"iPad Pro 12.9\"",ipad-pro-12-9,,85,,
193,"iPad 5 (2017)",ipad-5-2017,,85,,
194,"iPad 2",ipad-2,,85,,
195,"iPad 4",ipad-4,,85,,
196,"iPad Mini 4",ipad-mini-4,,85,,
197,"iPad 3",ipad-3,,85,,
198,"iPad Air 2",ipad-air-2,,85,,
199,"iPad Mini 2",ipad-mini-2,,85,,
200,"iPad Air 1",ipad-air-1,,85,,
201,"iPad Mini 3",ipad-mini-3,,85,,
202,"101 Copper",101-copper,,86,,
203,"Media Pad T2 Pro",media-pad-t2-pro,,87,,
204,"Galaxy Tab 8.9\"",galaxy-tab-8-9,,88,,
205,"Galaxy Tab 4 - 10.1\"",galaxy-tab-4-10-1,,88,,
206,"Galaxy Tab 2 7\"",galaxy-tab-2-7,,88,,
207,"Galaxy Tab S 8.4\"",galaxy-tab-s-8-4,,88,,
208,"Galaxy Tab 4 7\"",galaxy-tab-4-7,,88,,
209,"GalaxyTab A 9.7\"",galaxytab-a-9-7,,88,,
210,"Galaxy Tab 7.0\"",galaxy-tab-7-0,,88,,
211,"Galaxy Tab 3 8.0\"",galaxy-tab-3-8-0,,88,,
212,"Galaxy Tab Pro 12.2",galaxy-tab-pro-12-2,,88,,
213,"Galaxy Tab 2 10.1\"",galaxy-tab-2-10-1,,88,,
214,"Galaxy Tab E 9.6\"",galaxy-tab-e-9-6,,88,,
215,"Galaxy Tab 4 8\"",galaxy-tab-4-8,,88,,
216,"Galaxy Tab 3 Lite",galaxy-tab-3-lite,,88,,
217,"Galaxy Tab 4 10.1\"",galaxy-tab-4-10-1-samsung-tablette,,88,,
218,"Galaxy Tab A6",galaxy-tab-a6,,88,,
219,"Galaxy Tab 3 8\"",galaxy-tab-3-8,,88,,
220,"Galaxy Tab 3 10.1\"",galaxy-tab-3-10-1,,88,,
221,"Galaxy Tab 3 7\"",galaxy-tab-3-7,,88,,
222,"Galaxy Tab 4 8.0\"",galaxy-tab-4-8-0,,88,,
223,"Galaxy S4 Active",galaxy-s4-active,,79,,
224,"Galaxy J3 Pro",galaxy-j3-pro,,79,,
225,"Galaxy Mega 6.3\"",galaxy-mega-6-3,,79,,
226,"Xcover 4",xcover-4,,79,,
227,"Galaxy J7 Pro",galaxy-j7-pro,,79,,
228,"Galaxy J5 Pro",galaxy-j5-pro,,79,,
229,"Galaxy Note 8",galaxy-note-8,,79,,
230,"Galaxy J100",galaxy-j100,,79,,
231,"Galaxy Ace 4",galaxy-ace-4,,79,,
232,"Galaxy Mega",galaxy-mega,,79,,
233,"Galaxy J110",galaxy-j110,,79,,
234,"Galaxy J5 (2015)",galaxy-j5-2015,,79,,
235,"Galaxy Note 1",galaxy-note-1,,79,,
236,"Galaxy J111",galaxy-j111,,79,,
237,"Galaxy S6",galaxy-s6,,79,,
238,"Galaxy J7 Prime",galaxy-j7-prime,,79,,
239,"Galaxy S7 Edge",galaxy-s7-edge,,79,,
240,"Galaxy A5 2016",galaxy-a5-2016,,79,,
241,"Galaxy Note 3",galaxy-note-3,,79,,
242,"Galaxy S5",galaxy-s5,,79,,
243,"Galaxy J320",galaxy-j320,,79,,
244,"Galaxy J120 2016",galaxy-j120-2016,,79,,
245,"Galaxy S4 Mini",galaxy-s4-mini,,79,,
246,"Galaxy S4",galaxy-s4,,79,,
247,"Galaxy Note 2",galaxy-note-2,,79,,
248,"Galaxy S6 edge",galaxy-s6-edge,,79,,
249,"Galaxy Xcover 3",galaxy-xcover-3,,79,,
250,"Galaxy A7 2015",galaxy-a7-2015,,79,,
251,"Galaxy Note 4",galaxy-note-4,,79,,
252,"Galaxy A5 2017",galaxy-a5-2017,,79,,
253,"Galaxy A320",galaxy-a320,,79,,
254,"Galaxy J5 Prime",galaxy-j5-prime,,79,,
255,"Galaxy S3",galaxy-s3,,79,,
256,"Galaxy J7 (2016)",galaxy-j7-2016,,79,,
257,"Galaxy Mega 2",galaxy-mega-2,,79,,
258,"Galaxy Trend 2 Lite",galaxy-trend-2-lite,,79,,
259,"Galaxy S8 Plus",galaxy-s8-plus,,79,,
260,"Galaxy S6 Edge Plus",galaxy-s6-edge-plus,,79,,
261,"Galaxy A5",galaxy-a5,,79,,
262,"Galaxy J2 Prime",galaxy-j2-prime,,79,,
263,"Galaxy core Prime",galaxy-core-prime,,79,,
264,"Galaxy S5 Mini",galaxy-s5-mini,,79,,
265,"Galaxy J5 (2016)",galaxy-j5-2016,,79,,
266,"Galaxy J7 2015",galaxy-j7-2015,,79,,
267,"Galaxy S8",galaxy-s8,,79,,
268,"Galaxy A7 (2016)",galaxy-a7-2016,,79,,
269,"Xcover 2",xcover-2,,79,,
270,"Galaxy Grand Prime",galaxy-grand-prime,,79,,
271,"Galaxy S2",galaxy-s2,,79,,
272,"Galaxy A3 (2016)",galaxy-a3-2016,,79,,
273,"Galaxy Note 5",galaxy-note-5,,79,,
274,"Galaxy A3 (2015)",galaxy-a3-2015,,79,,
275,"Galaxy S9",galaxy-s9,,79,,
276,"Galaxy S9 Plus",galaxy-s9-plus,,79,,
277,"Galaxy S7",galaxy-s7,,79,,
278,"Galaxy J701",galaxy-j701,,79,,
279,"Galaxy J2 Pro",galaxy-j2-pro,,79,,
280,"Galaxy J6 Plus",galaxy-j6-plus,,79,,
281,"Galaxy J4",galaxy-j4,,79,,
282,"Galaxy J810",galaxy-j810,,79,,
283,"Galaxy Note 9",galaxy-note-9,,79,,
284,"Galaxy S10",galaxy-s10,,79,,
285,"Galaxy S10 Plus",galaxy-s10-plus,,79,,
286,"Galaxy S10e",galaxy-s10e,,79,,
287,"Galaxy J4 Plus",galaxy-j4-plus,,79,,
288,"J6 Plus",j6-plus,,287,,
295,"iPhone 4",iphone-4,1220,70,,
309,"iPhone 8",iphone-8-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-8.jpg,70,,
310,"iPod Touch 6",ipod-touch-6-apple,http://localhost/atom-wp/wp-content/uploads/models/ipod-touch-6.jpg,70,,
311,"iPhone 6 Plus",iphone-6-plus-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-6-plus.jpg,70,,
312,"iPhone 7 Plus",iphone-7-plus-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-7-plus.jpg,70,,
313,"iPhone 5C",iphone-5c-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-4.jpg,70,,
314,"iPhone 6S",iphone-6s-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-6s.jpg,70,,
315,"iPhone 5",iphone-5-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-5.jpg,70,,
316,"iPhone 6S Plus",iphone-6s-plus-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-6s-plus.jpg,70,,
317,"iPhone SE",iphone-se-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-se.jpg,70,,
318,"iPhone 7",iphone-7-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-7.jpg,70,,
319,"iPhone 6",iphone-6-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-6.jpg,70,,
320,"iPhone 4S",iphone-4s-apple,http://localhost/atom-wp/wp-content/uploads/models/iphone-4s.jpg,70,,
