Term ID,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Prix de la réparation
96,iPhone 8,iphone-8,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-8.jpg,,,,,,
97,iPod Touch 6,ipod-touch-6,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/ipod-touch-6.jpg,,,,,,
98,iPhone 6 Plus,iphone-6-plus,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-6-plus.jpg,,,,,,
99,iPhone 7 Plus,iphone-7-plus,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-7-plus.jpg,,,,,,
100,iPhone 5C,iphone-5c,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-5c.jpg,,,,,,
101,iPhone 4,iphone-4,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-4.jpg,,,,,,
102,iPhone 6S,iphone-6s,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-6s.jpg,,,,,,
103,iPhone 5,iphone-5,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-5.jpg,,,,,,
104,iPhone 6S Plus,iphone-6s-plus,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-6s-plus.jpg,,,,,,
105,iPhone SE,iphone-se,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-se.jpg,,,,,,
106,iPhone 7,iphone-7,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-7.jpg,,,,,,
107,iPhone 6,iphone-6,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-6.jpg,,,,,,
108,iPhone 4S,iphone-4s,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-4s.jpg,,,,,,
109,iPod Touch 4,ipod-touch-4,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/ipod-touch-4.jpg,,,,,,
110,iPhone 5S,iphone-5s,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-5s.jpg,,,,,,
111,iPhone 8 Plus,iphone-8-plus,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-8-plus.jpg,,,,,,
112,iPod Touch 5,ipod-touch-5,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/ipod-touch-5.jpg,,,,,,
113,iPhone XS,iphone-xs,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-xs.jpg,,,,,,
114,iPhone X,iphone-x,,70,Apple,apple,0,http://localhost/atom-wp/wp-content/uploads/models/iphone-x.jpg,,,,,,
